"Date","Close"
"2025-03-31","6.050000191"
"2025-04-01","6.139999866"
"2025-04-02","6.21999979"
"2025-04-03","5.760000229"
"2025-04-04","5.449999809"
"2025-04-07","5.550000191"
"2025-04-08","5.420000076"
"2025-04-09","5.860000134"
"2025-04-10","5.570000172"
"2025-04-11","5.690000057"
"2025-04-14","5.739999771"
"2025-04-15","5.800000191"
"2025-04-16","5.650000095"
"2025-04-17","5.630000114"
"2025-04-21","5.480000019"
"2025-04-22","5.650000095"
"2025-04-23","5.78000021"
"2025-04-24","5.809999943"
"2025-04-25","5.889999866"
"2025-04-28","5.920000076"
"2025-04-29","5.960000038"
"2025-04-30","5.900000095"
"2025-05-01","5.860000134"
"2025-05-02","5.989999771"
"2025-05-05","5.960000038"
"2025-05-06","5.940000057"
"2025-05-07","5.960000038"
"2025-05-08","6.019999981"
"2025-05-09","6.019999981"
"2025-05-12","6.190000057"
"2025-05-13","6.28000021"
"2025-05-14","6.360000134"
"2025-05-15","6.139999866"
"2025-05-16","6.289999962"
"2025-05-19","6.28000021"
"2025-05-20","6.25"
"2025-05-21","6.110000134"
"2025-05-22","6.099999905"
"2025-05-23","6.099999905"
"2025-05-27","6.25"
"2025-05-28","6.239999771"
"2025-05-29","6.130000114"
"2025-05-30","6.150000095"
"2025-06-02","6.159999847"
"2025-06-03","6.239999771"
"2025-06-04","6.269999981"
"2025-06-05","6.039999962"
"2025-06-06","6.170000076"
"2025-06-09","6.230000019"
"2025-06-10","6.21999979"
"2025-06-11","6.260000229"
"2025-06-12","6.190000057"
"2025-06-13","6.099999905"
"2025-06-16","6.25"
"2025-06-17","6.179999828"
"2025-06-18","6.269999981"
"2025-06-20","6.199999809"
"2025-06-23","6.190000057"
"2025-06-24","6.289999962"
"2025-06-25","6.269999981"
"2025-06-26","6.269999981"
"2025-06-27","6.21999979"
"2025-06-30","6.300000191"
"2025-07-01","6.190000057"
"2025-07-02","6.320000172"
"2025-07-03","6.28000021"
"2025-07-07","6.25"
"2025-07-08","6.230000019"
"2025-07-09","6.289999962"
"2025-07-10","6.230000019"
"2025-07-11","6.210000038"
"2025-07-14","6.289999962"
"2025-07-15","6.300000191"
"2025-07-16","6.400000095"
"2025-07-17","6.400000095"
"2025-07-18","6.409999847"
"2025-07-21","6.329999924"
"2025-07-22","6.289999962"
"2025-07-23","6.349999905"
"2025-07-24","6.260000229"
"2025-07-25","6.269999981"
"2025-07-28","6.269999981"
"2025-07-29","6.190000057"
"2025-07-30","6.21999979"
"2025-07-31","6.139999866"
"2025-08-01","6.010000229"
"2025-08-04","6.119999886"
"2025-08-05","6.110000134"
"2025-08-06","6.090000153"
"2025-08-07","6.039999962"
"2025-08-08","6.03000021"
"2025-08-11","6.039999962"
"2025-08-12","6.099999905"
"2025-08-13","6.090000153"
"2025-08-14","5.949999809"
"2025-08-15","5.900000095"
"2025-08-18","5.900000095"
"2025-08-19","5.730000019"
"2025-08-20","5.71999979"
"2025-08-21","5.599999905"
"2025-08-22","5.739999771"
"2025-08-25","5.739999771"
"2025-08-26","5.800000191"
"2025-08-27","5.760000229"
"2025-08-28","5.75"
"2025-08-29","5.670000076"
"2025-09-02","5.630000114"
